Total KWH Used,Electricity Rate,Consumption Price
412,5.98,2464.76
355,5.42,1924.94
289,5.55,1603.95
198,5.11,1011.78
341,5.32,1815.04
256,5.76,1475.52
401,5.67,2274.21
132,5.28,696.96
379,5.49,2081.71
225,5.92,1332.00
311,6.12,1903.32
147,5.31,780.57
268,5.44,1458.00
421,6.08,2558.68
301,5.15,1550.15
344,5.79,1991.76
197,5.22,1028.34
281,5.46,1535.26
409,6.11,2499.99
233,5.36,1248.88
357,5.88,2099.16
118,5.07,598.26
265,5.63,1492.95
322,6.02,1938.44
409,5.17,2115.53
199,5.41,1076.59
147,5.66,832.02
365,6.12,2233.80
276,5.32,1467.84
412,6.01,2476.12
189,5.44,1027.00
331,5.88,1947.48
436,5.96,2598.56
153,5.18,793.00
201,5.03,1011.03
284,5.71,1622.64
322,6.05,1948.10
419,5.33,2232.27
248,5.48,1357.04
133,5.17,687.61
392,5.12,2008.64
308,5.77,1776.16
441,6.08,2680.28
261,5.33,1391.13
208,5.64,1173.12
387,6.12,2369.64
342,5.74,1964.28
229,5.31,1216.99
297,5.21,1546.37
384,5.7441,4192.88
297,5.1832,2978.51
188,5.6022,2096.64
341,5.9123,3838.42
276,5.4321,2804.55
119,5.1888,1195.44
