Total KWH Used,Electricity Rate,Consumption Price
745,7.82,5841.90
812,7.41,6029.55
689,7.96,5482.11
552,7.54,4172.62
823,7.88,6489.72
301,7.60,2290.41
765,8.02,6137.15
412,7.44,3076.06
699,7.98,5614.21
825,7.33,6072.04
584,7.21,4268.41
744,7.69,5719.55
159,7.55,1201.06
508,7.38,3790.41
781,7.89,6161.27
837,7.74,6473.20
122,7.44,907.12
658,8.01,5324.88
702,7.62,5356.47
488,7.58,3706.61
812,7.99,6482.19
611,7.73,4729.17
745,7.13,5311.93
322,7.88,2541.42
589,7.64,4508.37
738,7.79,5753.00
805,7.46,6007.00
693,7.94,5487.00
561,7.55,4236.00
829,7.88,6530.00
315,7.59,2392.00
771,8.01,6177.00
423,7.48,3157.00
689,7.97,5578.00
832,7.32,6087.00
598,7.22,4318.00
758,7.67,5818.00
164,7.56,1241.00
521,7.41,3858.00
796,7.92,6296.00
842,7.75,6515.00
133,7.52,1005.00
667,8.02,5340.00
713,7.61,5438.00
505,7.58,3782.00
824,7.98,6573.00
629,7.74,4875.00
749,7.11,5320.00
335,7.90,2646.00
596,7.64,4552.00
787,7.62,5990.00
701,7.86,5621.00
843,8.05,6780.00
452,7.73,3493.00
312,7.58,2365.00
147,7.08,1048.00
569,7.94,4521.00
832,7.76,6456.00
699,7.52,5257.00
241,7.39,1781.00
658,7.87,5171.00
711,7.44,5294.00
374,7.88,2944.00
562,7.72,4337.00
447,7.56,3382.00
336,7.72,2590.00
683,8.06,5506.00
729,7.52,5485.00
226,7.48,1685.00
501,8.00,4010.00
789,7.69,6065.00
853,7.94,6760.00
393,7.18,2823.00
622,7.98,4967.00
518,7.63,3952.00
714,7.41,5287.00
601,7.28,4374.00
778,7.89,6140.00
834,7.76,6475.00
544,7.12,3875.00
321,7.54,2421.00
582,7.63,4443.00
765,7.97,6095.00
419,7.86,3295.00
270,7.59,2049.00
157,7.68,1207.00
693,7.25,5020.00
755,7.31,5515.00
841,8.01,6738.00
607,7.05,4282.00
742,7.69,5724.00
334,7.88,2634.00
198,7.22,1429.00
